time,F_x,F_y,F_z,T_x,T_y,T_z,U_sup,U_fluid,fluid_fraction
0.580000,-8.43121659E-05,2.39854771E-10,9.68642819E-03,2.59596731E-10,1.68412808E-08,-2.53732586E-10,1.69640507E-03,1.72948407E-03,9.80648219E-01
0.590000,-7.62068277E-05,-1.03174277E-10,9.70313932E-03,1.64056942E-10,1.67306793E-08,-1.59664556E-10,1.70080322E-03,1.73396847E-03,9.80648219E-01
0.600000,-6.84214055E-05,-2.69186960E-10,9.71901582E-03,1.02752139E-10,1.66753508E-08,-9.94741375E-11,1.70497741E-03,1.73822453E-03,9.80648219E-01
0.610000,-6.10037744E-05,-8.31448161E-10,9.73121971E-03,-1.46436481E-10,1.65452236E-08,5.41495240E-11,1.70875703E-03,1.74207836E-03,9.80648219E-01
0.620000,-5.37728776E-05,-9.69071276E-10,9.74444571E-03,-1.89583023E-10,1.65211977E-08,9.71383379E-11,1.71235284E-03,1.74574474E-03,9.80648219E-01
0.630000,-4.69656636E-05,-1.01973889E-09,9.75733282E-03,-2.08686718E-10,1.65051651E-08,1.21461525E-10,1.71577348E-03,1.74923250E-03,9.80648219E-01
0.640000,-4.05159137E-05,-1.02996905E-09,9.76968547E-03,-2.19251729E-10,1.64962752E-08,1.37842538E-10,1.71902729E-03,1.75255015E-03,9.80648219E-01
0.650000,-3.43657187E-05,-1.02058158E-09,9.78149810E-03,-2.24876630E-10,1.64932839E-08,1.49255989E-10,1.72212232E-03,1.75570591E-03,9.80648219E-01
0.660000,-2.84824900E-05,-1.00183337E-09,9.79279033E-03,-2.27146138E-10,1.64944613E-08,1.57133514E-10,1.72506626E-03,1.75870762E-03,9.80648219E-01
0.670000,-2.28469180E-05,-9.78551828E-10,9.80358332E-03,-2.27014815E-10,1.64985321E-08,1.62379094E-10,1.72786643E-03,1.76156276E-03,9.80648219E-01
0.680000,-1.74455679E-05,-9.52999907E-10,9.81389737E-03,-2.25131990E-10,1.65046382E-08,1.65625861E-10,1.73052982E-03,1.76427842E-03,9.80648219E-01
0.690000,-1.22676242E-05,-9.26292654E-10,9.82375211E-03,-2.21962186E-10,1.65121856E-08,1.67336583E-10,1.73306306E-03,1.76686138E-03,9.80648219E-01
0.700000,-7.30357412E-06,-8.99033542E-10,9.83316677E-03,-2.17846728E-10,1.65207461E-08,1.67857534E-10,1.73547245E-03,1.76931806E-03,9.80648219E-01
0.710000,-2.54467742E-06,-8.71587092E-10,9.84216013E-03,-2.13040926E-10,1.65300019E-08,1.67452138E-10,1.73776400E-03,1.77165460E-03,9.80648219E-01
0.720000,2.01726034E-06,-8.44195168E-10,9.85075055E-03,-2.07738282E-10,1.65397130E-08,1.66323451E-10,1.73994341E-03,1.77387680E-03,9.80648219E-01
0.730000,6.38999751E-06,-8.17028526E-10,9.85895584E-03,-2.02086943E-10,1.65496971E-08,1.64629719E-10,1.74201612E-03,1.77599021E-03,9.80648219E-01
0.740000,1.05809188E-05,-7.90211777E-10,9.86679327E-03,-1.96201214E-10,1.65598149E-08,1.62495421E-10,1.74398730E-03,1.77800009E-03,9.80648219E-01
0.750000,1.45970764E-05,-7.63837038E-10,9.87427948E-03,-1.90169791E-10,1.65699598E-08,1.60019255E-10,1.74586186E-03,1.77991146E-03,9.80648219E-01
0.760000,1.84452210E-05,-7.37972426E-10,9.88143051E-03,-1.84061780E-10,1.65800508E-08,1.57280024E-10,1.74764448E-03,1.78172909E-03,9.80648219E-01
0.770000,2.21318252E-05,-7.12667775E-10,9.88826175E-03,-1.77931144E-10,1.65900264E-08,1.54341022E-10,1.74933961E-03,1.78345751E-03,9.80648219E-01
0.780000,2.56631032E-05,-6.87958842E-10,9.89478794E-03,-1.71820052E-10,1.65998404E-08,1.51253348E-10,1.75095148E-03,1.78510105E-03,9.80648219E-01
0.790000,2.90450271E-05,-6.63870373E-10,9.90102321E-03,-1.65761414E-10,1.66094586E-08,1.48058435E-10,1.75248412E-03,1.78666380E-03,9.80648219E-01
0.800000,3.22833408E-05,-6.40418522E-10,9.90698107E-03,-1.59780824E-10,1.66188563E-08,1.44789997E-10,1.75394137E-03,1.78814968E-03,9.80648219E-01
