time,axis_x,axis_y,axis_z
4.4699999,0.900533494,3.82745067e-09,-0.434786644
4.4799999,0.900093056,3.82619593e-09,-0.435697705
4.4899999,0.899651697,3.82489317e-09,-0.436608318
4.4999999,0.899209417,3.82354265e-09,-0.437518484
4.5099999,0.898766217,3.82214464e-09,-0.438428202
4.5199999,0.898322096,3.8206994e-09,-0.439337469
4.5299999,0.897877056,3.8192072e-09,-0.440246287
4.5399999,0.897431096,3.81766828e-09,-0.441154653
4.5499999,0.896984218,3.81608292e-09,-0.442062567
4.5599999,0.896536422,3.81445137e-09,-0.442970027
4.5699999,0.896087707,3.81277389e-09,-0.443877033
4.5799999,0.895638076,3.81105074e-09,-0.444783584
4.5899999,0.895187528,3.80928216e-09,-0.44568968
4.5999999,0.894736063,3.80746841e-09,-0.446595318
4.6099999,0.894283682,3.80560974e-09,-0.447500498
4.6199999,0.893830386,3.8037064e-09,-0.44840522
4.6299999,0.893376175,3.80175865e-09,-0.449309482
4.6399999,0.892921049,3.79976672e-09,-0.450213283
4.6499999,0.892465009,3.79773087e-09,-0.451116623
4.6599999,0.892008056,3.79565134e-09,-0.4520195
4.6699999,0.891550189,3.79352837e-09,-0.452921914
4.6799999,0.89109141,3.7913622e-09,-0.453823864
4.6899999,0.890631718,3.78915308e-09,-0.454725348
4.69999989,0.890171115,3.78690126e-09,-0.455626367
4.70999989,0.889709601,3.78460695e-09,-0.456526918
4.71999989,0.889247175,3.78227042e-09,-0.457427001
4.72999989,0.88878384,3.77989188e-09,-0.458326615
4.73999989,0.888319594,3.77747158e-09,-0.45922576
4.74999989,0.887854439,3.77500975e-09,-0.460124434
4.75999989,0.887388376,3.77250663e-09,-0.461022636
4.76999989,0.886921404,3.76996245e-09,-0.461920365
4.77999989,0.886453523,3.76737743e-09,-0.462817621
4.78999989,0.885984736,3.76475182e-09,-0.463714403
4.79999989,0.885515041,3.76208583e-09,-0.46461071
4.80999989,0.88504444,3.75937969e-09,-0.46550654
4.81999989,0.884572933,3.75663364e-09,-0.466401893
4.82999989,0.884100521,3.7538479e-09,-0.467296768
4.83999989,0.883627203,3.75102269e-09,-0.468191164
4.84999989,0.883152981,3.74815824e-09,-0.46908508
4.85999989,0.882677855,3.74525477e-09,-0.469978515
4.86999989,0.882201825,3.7423125e-09,-0.470871469
4.87999989,0.881724892,3.73933165e-09,-0.47176394
4.88999989,0.881247056,3.73631245e-09,-0.472655927
4.89999989,0.880768319,3.7332551e-09,-0.47354743
4.90999989,0.880288679,3.73015983e-09,-0.474438448
4.91999989,0.879808139,3.72702686e-09,-0.47532898
4.92999989,0.879326698,3.7238564e-09,-0.476219024
4.93999989,0.878844356,3.72064866e-09,-0.47710858
4.94999989,0.878361115,3.71740386e-09,-0.477997647
4.95999989,0.877876975,3.71412221e-09,-0.478886225
4.96999989,0.877391936,3.71080392e-09,-0.479774311
4.97999989,0.876905999,3.70744921e-09,-0.480661906
4.98999989,0.876419244,3.70433077e-09,-0.481548865
4.99999989,0.8759318,3.70116935e-09,-0.482434951
5.00999989,0.875443611,3.69600346e-09,-0.48332027
5.01999989,0.874954623,3.6881066e-09,-0.484204924
5.02999989,0.874464804,3.67823311e-09,-0.485088968
5.03999989,0.873974141,3.66737547e-09,-0.485972429
5.04999989,0.873482624,3.65614589e-09,-0.486855324
5.05999989,0.872990246,3.64483616e-09,-0.487737665
5.06999989,0.872497003,3.63359811e-09,-0.488619463
5.07999989,0.87200289,3.62253363e-09,-0.489500724
5.08999989,0.871507906,3.61171746e-09,-0.490381454
5.09999989,0.871012046,3.60120106e-09,-0.491261657
5.10999989,0.87051531,3.59101614e-09,-0.492141336
5.11999989,0.870017697,3.58117941e-09,-0.493020493
5.12999989,0.869519206,3.57169687e-09,-0.49389913
5.13999989,0.869019835,3.56256711e-09,-0.494777249
5.14999988,0.868519585,3.55378358e-09,-0.49565485
5.15999988,0.868018456,3.54533622e-09,-0.496531933
5.16999988,0.867516446,3.53721272e-09,-0.4974085
5.17999988,0.867013557,3.52939932e-09,-0.498284549
5.18999988,0.866509788,3.52188146e-09,-0.499160082
5.19999988,0.866005139,3.51464425e-09,-0.500035099
5.20999988,0.86549961,3.5076728e-09,-0.500909598
5.21999988,0.864993202,3.50095239e-09,-0.501783579
5.22999988,0.864485915,3.4944687e-09,-0.502657043
5.23999988,0.863977749,3.48820786e-09,-0.503529989
5.24999988,0.863468704,3.48215656e-09,-0.504402416
5.25999988,0.862958781,3.47630204e-09,-0.505274323
5.26999988,0.862447981,3.47063215e-09,-0.506145711
5.27999988,0.861936302,3.46513532e-09,-0.507016578
5.28999988,0.861423747,3.45980059e-09,-0.507886924
5.29999988,0.860910315,3.45461756e-09,-0.508756748
5.30999988,0.860396007,3.44957641e-09,-0.50962605
5.31999988,0.859880823,3.44466782e-09,-0.510494829
5.32999988,0.859364764,3.43988302e-09,-0.511363083
5.33999988,0.858847829,3.43521371e-09,-0.512230813
5.34999988,0.85833002,3.43065204e-09,-0.513098018
5.35999988,0.857811337,3.42619063e-09,-0.513964697
5.36999988,0.857291781,3.4218225e-09,-0.514830848
5.37999988,0.856771351,3.41754104e-09,-0.515696472
5.38999988,0.856250049,3.41334005e-09,-0.516561568
5.39999988,0.855727875,3.40921365e-09,-0.517426134
5.40999988,0.855204829,3.4051563e-09,-0.518290171
5.41999988,0.854680911,3.40116276e-09,-0.519153676
5.42999988,0.854156123,3.39722809e-09,-0.520016651
5.43999988,0.853630465,3.39334761e-09,-0.520879092
5.44999988,0.853103937,3.38951691e-09,-0.521741001
5.45999988,0.85257654,3.38573183e-09,-0.522602375
5.46999988,0.852048275,3.38198842e-09,-0.523463215
5.47999988,0.851519141,3.37828294e-09,-0.524323519
5.48999988,0.850989139,3.37461189e-09,-0.525183287
5.49999988,0.850458271,3.37097193e-09,-0.526042517
5.50999988,0.849926535,3.36735989e-09,-0.52690121
5.51999988,0.849393934,3.36377281e-09,-0.527759363
5.52999988,0.848860467,3.36020785e-09,-0.528616977
5.53999988,0.848326135,3.35666235e-09,-0.52947405
5.54999988,0.847790938,3.35313377e-09,-0.530330582
5.55999988,0.847254877,3.34961973e-09,-0.531186571
5.56999988,0.846717953,3.34611795e-09,-0.532042018
5.57999988,0.846180165,3.34262629e-09,-0.53289692
5.58999988,0.845641516,3.33914271e-09,-0.533751278
5.59999987,0.845102004,3.33566529e-09,-0.53460509
5.60999987,0.844561631,3.33219221e-09,-0.535458356
5.61999987,0.844020397,3.32872174e-09,-0.536311075
5.62999987,0.843478303,3.32525224e-09,-0.537163245
5.63999987,0.842935349,3.32178217e-09,-0.538014867
5.64999987,0.842391536,3.31831006e-09,-0.538865939
5.65999987,0.841846864,3.31483451e-09,-0.53971646
5.66999987,0.841301334,3.31135421e-09,-0.54056643
5.67999987,0.840754946,3.30786791e-09,-0.541415848
5.68999987,0.840207702,3.30437444e-09,-0.542264712
5.69999987,0.8396596,3.30087267e-09,-0.543113023
5.70999987,0.839110643,3.29736155e-09,-0.543960779
5.71999987,0.83856083,3.29384008e-09,-0.544807979
5.72999987,0.838010163,3.29030731e-09,-0.545654622
5.73999987,0.837458641,3.28676234e-09,-0.546500708
5.74999987,0.836906266,3.28320433e-09,-0.547346237
