time,T_dna,T_res
252.030000,-1.50353207e+02,-1.18937521e+02
252.035000,-1.50337858e+02,-1.18922172e+02
252.040000,-1.50322623e+02,-1.18906937e+02
252.045000,-1.50307508e+02,-1.18891822e+02
252.050000,-1.50292515e+02,-1.18876829e+02
252.055000,-1.50277598e+02,-1.18861913e+02
252.060000,-1.50262720e+02,-1.18847035e+02
252.065000,-1.50247902e+02,-1.18832218e+02
252.070000,-1.50233118e+02,-1.18817434e+02
252.075000,-1.50218339e+02,-1.18802656e+02
252.080000,-1.50203538e+02,-1.18787854e+02
252.085000,-1.50188639e+02,-1.18772955e+02
252.090000,-1.50173575e+02,-1.18757892e+02
252.095000,-1.50158381e+02,-1.18742698e+02
252.100000,-1.50143086e+02,-1.18727402e+02
252.105000,-1.50127702e+02,-1.18712018e+02
252.110000,-1.50112237e+02,-1.18696553e+02
252.115000,-1.50096710e+02,-1.18681026e+02
252.120000,-1.50081151e+02,-1.18665467e+02
252.125000,-1.50065628e+02,-1.18649944e+02
252.130000,-1.50050205e+02,-1.18634523e+02
252.135000,-1.50034941e+02,-1.18619259e+02
252.140000,-1.50019812e+02,-1.18604131e+02
252.145000,-1.50004762e+02,-1.18589081e+02
252.150000,-1.49989751e+02,-1.18574070e+02
252.155000,-1.49974819e+02,-1.18559138e+02
252.160000,-1.49959975e+02,-1.18544294e+02
252.165000,-1.49945207e+02,-1.18529526e+02
252.170000,-1.49930497e+02,-1.18514815e+02
252.175000,-1.49915825e+02,-1.18500144e+02
252.180000,-1.49901166e+02,-1.18485485e+02
252.185000,-1.49886541e+02,-1.18470859e+02
252.190000,-1.49871936e+02,-1.18456254e+02
252.195000,-1.49857362e+02,-1.18441682e+02
252.200000,-1.49842837e+02,-1.18427157e+02
252.205000,-1.49828331e+02,-1.18412650e+02
252.210000,-1.49813810e+02,-1.18398129e+02
252.215000,-1.49799324e+02,-1.18383644e+02
252.220000,-1.49784924e+02,-1.18369243e+02
252.225000,-1.49770626e+02,-1.18354948e+02
252.230000,-1.49756439e+02,-1.18340760e+02
252.235000,-1.49742314e+02,-1.18326636e+02
252.240000,-1.49728174e+02,-1.18312497e+02
252.245000,-1.49714065e+02,-1.18298387e+02
252.250000,-1.49699990e+02,-1.18284309e+02
252.255000,-1.49685905e+02,-1.18270226e+02
252.260000,-1.49671803e+02,-1.18256123e+02
252.265000,-1.49657653e+02,-1.18241972e+02
