time,u,gap
3.458000,-2.427089e-02,6.42417000e-03
3.459000,-2.423102e-02,6.39994000e-03
3.460000,-2.418985e-02,6.37575000e-03
3.461000,-2.415341e-02,6.35160000e-03
3.462000,-2.411224e-02,6.32749000e-03
3.463000,-2.407331e-02,6.30341000e-03
3.464000,-2.402855e-02,6.27939000e-03
3.465000,-2.398739e-02,6.25540000e-03
3.466000,-2.393846e-02,6.23146000e-03
3.467000,-2.388730e-02,6.20757000e-03
3.468000,-2.383973e-02,6.18373000e-03
3.469000,-2.379359e-02,6.15994000e-03
3.470000,-2.374028e-02,6.13620000e-03
3.471000,-2.369050e-02,6.11251000e-03
3.472000,-2.364816e-02,6.08886000e-03
3.473000,-2.360457e-02,6.06526000e-03
3.474000,-2.355502e-02,6.04170000e-03
3.475000,-2.350579e-02,6.01819000e-03
3.476000,-2.346014e-02,5.99473000e-03
3.477000,-2.342038e-02,5.97131000e-03
3.478000,-2.338019e-02,5.94793000e-03
3.479000,-2.333983e-02,5.92459000e-03
3.480000,-2.330263e-02,5.90129000e-03
3.481000,-2.326641e-02,5.87802000e-03
3.482000,-2.322171e-02,5.85480000e-03
3.483000,-2.317952e-02,5.83162000e-03
3.484000,-2.314160e-02,5.80848000e-03
3.485000,-2.310058e-02,5.78538000e-03
3.486000,-2.305670e-02,5.76232000e-03
3.487000,-2.301371e-02,5.73931000e-03
3.488000,-2.296961e-02,5.71634000e-03
3.489000,-2.292544e-02,5.69342000e-03
3.490000,-2.287585e-02,5.67054000e-03
3.491000,-2.282139e-02,5.64772000e-03
3.492000,-2.277250e-02,5.62495000e-03
3.493000,-2.272284e-02,5.60222000e-03
3.494000,-2.266652e-02,5.57956000e-03
3.495000,-2.261528e-02,5.55694000e-03
3.496000,-2.257037e-02,5.53437000e-03
3.497000,-2.252009e-02,5.51185000e-03
3.498000,-2.246467e-02,5.48939000e-03
3.499000,-2.241001e-02,5.46698000e-03
3.500000,-2.236181e-02,5.44461000e-03
3.501000,-2.231766e-02,5.42230000e-03
3.502000,-2.227632e-02,5.40002000e-03
3.503000,-2.223394e-02,5.37779000e-03
3.504000,-2.219204e-02,5.35559000e-03
3.505000,-2.215097e-02,5.33344000e-03
3.506000,-2.210187e-02,5.31134000e-03
3.507000,-2.205570e-02,5.28929000e-03
3.508000,-2.201555e-02,5.26727000e-03
3.509000,-2.197491e-02,5.24530000e-03
3.510000,-2.192565e-02,5.22337000e-03
3.511000,-2.187843e-02,5.20149000e-03
3.512000,-2.182954e-02,5.17966000e-03
3.513000,-2.178437e-02,5.15788000e-03
3.514000,-2.173549e-02,5.13614000e-03
3.515000,-2.168194e-02,5.11446000e-03
3.516000,-2.162139e-02,5.09284000e-03
3.517000,-2.156906e-02,5.07127000e-03
3.518000,-2.151825e-02,5.04975000e-03
3.519000,-2.146075e-02,5.02829000e-03
3.520000,-2.140524e-02,5.00689000e-03
3.521000,-2.135731e-02,4.98553000e-03
3.522000,-2.131110e-02,4.96422000e-03
3.523000,-2.125779e-02,4.94296000e-03
3.524000,-2.120022e-02,4.92176000e-03
3.525000,-2.114744e-02,4.90061000e-03
3.526000,-2.109999e-02,4.87951000e-03
3.527000,-2.105583e-02,4.85846000e-03
3.528000,-2.100992e-02,4.83745000e-03
3.529000,-2.096280e-02,4.81648000e-03
3.530000,-2.092176e-02,4.79556000e-03
3.531000,-2.087957e-02,4.77468000e-03
3.532000,-2.082953e-02,4.75385000e-03
3.533000,-2.078019e-02,4.73307000e-03
3.534000,-2.073674e-02,4.71234000e-03
3.535000,-2.069233e-02,4.69164000e-03
3.536000,-2.064237e-02,4.67100000e-03
3.537000,-2.059248e-02,4.65041000e-03
3.538000,-2.054216e-02,4.62987000e-03
3.539000,-2.049565e-02,4.60937000e-03
3.540000,-2.044727e-02,4.58892000e-03
3.541000,-2.039165e-02,4.56853000e-03
3.542000,-2.033384e-02,4.54820000e-03
3.543000,-2.028237e-02,4.52792000e-03
3.544000,-2.022946e-02,4.50769000e-03
3.545000,-2.016804e-02,4.48752000e-03
3.546000,-2.010408e-02,4.46741000e-03
3.547000,-2.005279e-02,4.44736000e-03
3.548000,-2.000532e-02,4.42736000e-03
3.549000,-1.994949e-02,4.40741000e-03
3.550000,-1.988975e-02,4.38752000e-03
3.551000,-1.982739e-02,4.36769000e-03
3.552000,-1.977275e-02,4.34792000e-03
3.553000,-1.972476e-02,4.32819000e-03
3.554000,-1.967748e-02,4.30851000e-03
3.555000,-1.962685e-02,4.28889000e-03
3.556000,-1.957421e-02,4.26931000e-03
3.557000,-1.952988e-02,4.24978000e-03
3.558000,-1.948767e-02,4.23030000e-03
3.559000,-1.943877e-02,4.21086000e-03
3.560000,-1.938351e-02,4.19147000e-03
3.561000,-1.933338e-02,4.17214000e-03
3.562000,-1.929073e-02,4.15285000e-03
3.563000,-1.923876e-02,4.13361000e-03
3.564000,-1.918331e-02,4.11443000e-03
3.565000,-1.913290e-02,4.09529000e-03
3.566000,-1.908141e-02,4.07621000e-03
3.567000,-1.903139e-02,4.05718000e-03
3.568000,-1.897814e-02,4.03820000e-03
3.569000,-1.891803e-02,4.01928000e-03
3.570000,-1.885527e-02,4.00043000e-03
3.571000,-1.879973e-02,3.98163000e-03
3.572000,-1.874526e-02,3.96288000e-03
3.573000,-1.868750e-02,3.94420000e-03
3.574000,-1.862332e-02,3.92557000e-03
3.575000,-1.856421e-02,3.90701000e-03
3.576000,-1.851144e-02,3.88850000e-03
3.577000,-1.846248e-02,3.87004000e-03
3.578000,-1.840814e-02,3.85163000e-03
3.579000,-1.834683e-02,3.83328000e-03
3.580000,-1.828533e-02,3.81500000e-03
3.581000,-1.822955e-02,3.79677000e-03
3.582000,-1.817787e-02,3.77859000e-03
3.583000,-1.812675e-02,3.76046000e-03
3.584000,-1.807444e-02,3.74239000e-03
3.585000,-1.802532e-02,3.72436000e-03
3.586000,-1.797723e-02,3.70638000e-03
3.587000,-1.793095e-02,3.68845000e-03
3.588000,-1.788237e-02,3.67057000e-03
3.589000,-1.782768e-02,3.65274000e-03
3.590000,-1.777618e-02,3.63497000e-03
3.591000,-1.772840e-02,3.61724000e-03
